Area (m2),Frontage (m),Access Road (m) ,Floors,Bedrooms,Bathrooms,Price (B VND)
76,,,3,4,3,6.1
56,4,4,4,3,3,4.4
39,3.5,4,5,4,4,4.7
52,,3,4,4,4,5.35
66,4.5,,3,,,2.9
56,5.8,2.5,4,3,3,7.6
67.5,,8,3,,,8.8
54,4,4,3,3,4,7.5
70,6.1,3.5,3,3,3,6.5
62,,,5,3,,3.98
122.2,,,,,,2.3
75,5,16,3,3,4,8.2
45,5,3,4,4,4,6.5
42.4,8,6,4,3,3,6.25
75,5,3.5,2,3,2,3.8
35,4,3,3,3,3,1.9
68,,,5,6,4,9.2
43,4,,2,,,3.28
42,,,4,4,3,6.9
86.9,4.85,2,3,3,2,3.48
52,,,5,,,8
38,,,5,3,4,6.9
66,6.2,7,5,,,10
164,4.5,5,1,3,1,3.5
23,,,4,3,,5.05
80,4,12,3,3,4,6
74,4.02,8,4,7,4,5.85
30,3.7,20,5,3,4,5.2
250,10,10,,3,2,4
35,3.5,,5,4,4,4.65
70,4.5,10,4,3,3,5.9
75,,5,2,3,2,3.65
56,,5,5,4,5,7.8
55,,,4,4,3,9.4
48,4,10,2,2,2,3.95
41,,,4,,,4.5
100,5,10,3,4,3,5.5
15,3.5,3,2,1,1,1.8
40,4,4,7,5,6,9.2
38,,,4,,,4.8
40,,6,5,5,6,9.9
60,,6,3,4,5,3.95
89,4.5,8,2,3,2,5
75,5,13,2,3,2,1.5
44,3.8,3,5,6,4,3.87
66,5,5,2,,,3.4
80,4.5,,,,,3.1
52,12,12,5,5,6,5.99
72.4,,14,3,,,8.7
30,,,4,2,3,3.7
35,,,4,3,4,6.15
40,,,4,4,3,7.6
40,,,4,3,2,7.3
94.9,,6,2,4,5,4.8
40,8,4,1,2,2,3.25
61,4,6,1,2,2,3
54,,6,4,4,3,7
35,,,5,4,4,6.1
37,3.7,3,4,3,3,1.65
54,,6,4,4,3,7
63,,6,3,3,3,4.1
50.6,,,3,4,4,4.9
81,4.5,12,3,4,3,7.8
31,5,,5,3,,7.2
150,5,8,,,,6.5
53.4,,,2,3,2,4.55
74,,,2,2,2,5.8
55,4,,4,4,4,6.3
32,4,,5,3,,5.18
75,,,1,2,2,2.75
115,,,2,3,2,8.99
59,4,2.5,2,2,1,2.65
36,4,,5,5,,7
90,8,8,2,3,2,2.38
100,6,6,2,3,2,2.4
100,,8,2,3,2,2.39
44,,,6,4,,5.95
40,,,,,,6.3
40,,8,1,2,2,1.38
76,4,8,3,4,4,3.6
99,5,18,3,3,3,7.2
75.6,4.2,6,4,5,5,7.25
46,6,2.5,1,2,1,1.58
71,,6,2,3,2,3.2
46,3.8,3,5,6,4,4.28
49,3,3,7,5,6,8
67,4,,3,4,5,6.29
81,,,4,,,7.9
60.5,6.8,8,4,4,5,10
40.8,,,3,4,4,7
106.8,4.5,16,2,3,3,5.9
200,,,,,,7.9
60,4,,3,4,5,3.7
53,4.05,5,2,2,2,4.86
35,,,4,3,3,5
90,4.5,13,3,3,4,8.85
100,,,3,3,3,5.95
92,,,1,2,1,5.9
100,,6,5,4,4,9.5
79,4.5,7.5,3,6,4,5.65
65,,,,4,4,7.5
75,4,5,2,3,3,6.5
45,6.7,4,3,3,3,3.45
16,4,2,2,2,1,1.55
34,4,4.5,6,4,5,4.95
44,3.6,6,3,3,3,8.2
60,,5.5,2,3,,4.8
38,,,4,3,3,5.35
45,,,5,3,3,5.5
28.2,,,2,2,2,3.85
40,,,2,2,2,3.65
65,8,3.5,,,,5.5
50,4.3,,2,3,2,5.5
56,4,4,2,3,2,3.1
50,11,,3,2,2,7.2
31.2,,,4,3,4,3.9
32,,,5,3,4,4.2
43,,,5,5,5,7
40,4,,2,2,2,3.35
40,,,4,,3,5
42,,,5,6,3,5.2
90,,,5,5,,8.6
56,4,,4,,,3.7
56,4,,4,,,3.65
60,4.7,,,4,5,6.8
140,7,12,3,4,3,7
46,4.2,3,4,4,3,6.8
46,5,3,3,3,3,3.25
56,,10,3,4,3,6.1
35,,,5,3,3,7
32,,4.5,2,2,2,5.55
50,,,5,,,9.8
51,3.7,,3,2,2,5.7
28,4,3,2,2,2,2.6
99,5,5,1,2,2,2.75
45,,,7,4,,8.6
110,6,,3,5,4,8.1
42,,,4,,,8
125,,8,2,3,2,1.85
40,46,3,5,6,4,5.4
89,5,5.5,4,4,2,9.2
55.3,5,7,5,8,5,10
35,5,5,2,2,2,4
44,,6,2,2,2,3.6
40,7.3,,5,3,4,7.7
50,5,,3,3,4,4.1
82,4.1,,2,3,3,9
80,6,11,5,5,5,9.6
43,,,5,4,3,8
42,3.6,5,2,2,2,3.2
250,,,2,3,3,6.1
36,,,3,4,3,2.5
48,4.5,3,4,4,3,8
65,,4,1,3,2,1.55
79.2,,,2,2,2,1.75
34,3.4,3,4,3,3,5.33
72,4,,4,4,5,9.7
49,,,4,4,4,6.3
30,3.5,,5,3,3,7
80,6,11,5,5,7,9.6
45,,6,4,4,3,6.7
40,3.5,,5,4,4,7
524.7,35,6,1,2,1,4.8
60,,,4,4,4,8.2
70,4.5,10,4,4,3,5.9
80,7,12,2,3,3,2.97
150,5,,,,,4.2
18,3.6,4,3,2,2,2.28
48,5,8,2,3,3,5.85
70,3.5,,,2,2,5.6
88,4,10,2,2,2,4.85
80,,3,3,6,4,4.2
27.5,,4,2,2,2,2.72
58,7,2.5,5,6,3,7.6
40,4.2,5,6,4,4,10
36,3.5,,4,3,,5.35
40,5.5,4,5,3,3,7.2
48,,,5,,,8.5
134,5.74,,3,,,4.35
16.1,,,2,,,2.95
45,,,,,,6.65
100,7,,,,,10
39,4.3,5,5,3,4,8.3
60,,,,,,7.55
162,10,24,,,,10
60,,,3,3,3,3
78,6,5.5,2,3,2,4.3
255,15,10,,4,2,5.5
35,,,6,4,5,8.68
58,,,5,5,,8.88
114,,,,6,6,1.45
31,5.8,,4,3,,4.35
90,5,,,5,5,8.5
86.9,,,,,,3.48
38,3.6,3,5,3,4,6.3
31,,,3,3,3,3.4
60,4,12,3,4,5,3.7
42,,,4,3,3,6.1
77.6,4.1,4.5,4,4,5,6.6
60,4,10,5,4,4,9.5
43,8,,4,,,9.25
37,3.3,,4,4,2,6.9
32,,,2,2,2,2.27
42,3.9,,4,,,8
37,6.9,,4,,,9.8
46,4.8,,3,4,3,2.85
62,4,3,1,3,2,2
67,4,6,3,4,3,3.85
45,3.3,4,,4,3,1.65
53,4,,4,5,4,4.3
60,4,4,1,2,1,2.55
35,,,4,4,3,2.5
52,4,6,3,4,3,4.7
48,8,2.5,1,2,1,2.05
36,,,5,3,4,7.9
101,4.3,8,1,2,2,5.2
33,45,2,6,,,5.6
60.3,,,4,4,3,8.5
71.2,,,2,2,2,2.9
124,6,6,3,3,2,5.5
100,5,5.5,2,3,2,4.5
45,3.9,3,6,4,4,7.85
40,4,10,4,6,5,8
63,6.5,10.5,2,,,5.7
123,,,,2,,1.5
41,,,5,3,5,5.95
35,,,5,3,4,5.2
32.5,,,4,3,4,4.95
75,3.5,,3,4,4,7
78,,6,4,9,,8.9
68,4,10,,2,1,7.95
35,3.7,3,5,2,2,5.75
28,5,2,4,3,3,4.6
23,3,2,5,5,5,3.55
80,,16,3,4,4,9.9
80,,,,2,2,7.6
82,,12,2,3,2,8.2
94.5,,,2,2,2,1.55
114,,,,,,9.7
102.3,8,8,,5,5,3.5
67,42,7,4,3,3,4.1
40.4,6,4,6,5,5,8.6
46,4,8,1,2,2,4.4
50,,,5,,,9.8
36,,,4,3,3,6.2
36,3.6,5,1,2,2,5.1
52,,8,4,4,5,5.25
60,5,5,2,2,2,2.75
42,,,5,6,3,5.2
88,,13,3,4,4,5.25
98,,5,2,,,4.45
50,,,5,5,6,10
21.7,,,2,3,2,3.9
60,,12,3,4,3,3.7
116,7,,,5,5,5.5
80,4.2,,,,,7.7
115,5,3,2,3,3,3.5
64,4.1,,3,4,4,6.7
72,4,8,3,4,4,5.5
134,7,,2,5,3,9.5
62,5.2,5,3,4,3,4.5
48,4,20,5,7,7,8.8
88,,,2,3,2,2.3
111,5,4,2,4,3,3.9
87,5,5,3,4,4,9.79
55,4,3,4,3,3,2.95
53,5,7,2,3,2,9.3
100,,,3,3,,3
120,5,5.5,3,5,3,4.5
64,4,5,,,,6.4
51.2,,10.5,1,2,1,5.19
21,,,3,3,4,3.87
45,4.7,3,5,3,4,7.7
84,,,2,,,9.25
30,3.6,3,5,3,1,3.85
154,7,21,1,2,2,10
80,4.6,,,2,2,5.7
30.2,3.9,2.5,3,5,3,3.8
40,5,4,4,4,4,8.5
44,5.5,,5,3,3,5.85
200,,,,3,2,2.95
35,3.5,4,5,3,3,5.25
55.7,,,2,2,2,5.5
74,4,33,2,2,2,3.8
53.8,5,10,2,2,2,4.5
57,4,8,5,,,7.4
60,4,5,3,3,4,6
50,8,3.5,,2,1,1
100,,,3,4,4,5.45
65,4,,,,,7.9
35,4,2,5,5,5,4.4
38.6,3.6,,3,3,2,3.3
57,4,5,1,2,1,2.2
148,5,7.5,2,,,7.2
31,,,5,3,3,6.1
120,,,2,3,3,3.9
48,,,4,4,4,7.5
64,,,2,,,5.8
80,,,4,8,9,8.35
60,,,5,,,9.3
32,,,4,,,6.6
50,,,3,,,8.5
54,4.5,,4,4,5,8.5
34,4,3,5,3,4,3.9
50,,,4,,,8.5
20,3.5,10,5,3,4,8.5
90,5,12,4,4,6,10
46,3.1,5,4,6,6,8.5
36,3.2,2.2,2,2,2,4.65
34.8,3.5,6,5,4,3,5.5
48,5,4,5,4,4,3.7
100,,14,3,3,3,4.7
25,,6,2,2,2,3.1
62.5,,5,,,,7.4
100,,30,4,4,4,6.1
100,5,12,3,4,5,6.5
40,5,5,5,3,2,5
36,36,3,5,3,4,7.8
109,,,,,,4
36,4.8,,6,4,6,5.45
32,5,2,2,2,2,4.8
70,,,2,3,2,5.9
13,,3,2,2,3,2.75
100,5,10,1,2,1,5.3
50,,,,,,9
60,4,5,2,2,2,3.2
30,4.3,3,6,3,4,4.15
89,4.9,13,3,4,4,9
23,3.4,,2,2,2,1.09
32,,,4,3,4,5.1
90,6,6,6,6,8,9.5
28,,14,,,,3.23
50,4,11,4,6,4,9.8
12.2,,,1,1,1,2.52
39,4.4,5,2,2,2,3.5
32,4.8,,5,5,3,7.2
60,,,2,3,2,8.9
40,,,1,1,1,3.7
385,7,,,,,6.2
20,3.3,2,4,3,3,3.55
42,,,3,2,2,2.45
42,,6,4,3,2,3.25
20,,,4,2,1,4.95
130,5,4,,2,2,2.85
30,5,,4,,,7
35,4,4,5,5,3,6.2
146,5,2,1,8,8,3.5
44,3.6,,5,6,,7.6
84,,,,2,2,1.55
213,,,,2,1,2.65
60,4,10,3,3,3,3
28,3.1,3,4,4,3,5.25
399,11,4,,2,2,1.55
100,5,12,3,,,6.5
44,6,2,4,4,5,5.88
26,,,4,4,,4.6
37,3.8,2.8,5,6,4,6.9
40,,3,4,4,4,5.38
80,,,,,,2.15
56,4,,3,3,3,3.4
144,,20,1,4,2,2.9
33,,,5,3,,4.23
58,,4,5,3,2,6.2
40,4,4,1,2,2,2.3
73,5,6,,,,4
100,5,,2,3,2,3.25
265,,,,,,8.9
40,33,,4,,,6.58
47.5,4,5,1,2,2,5.2
76,,8,5,7,7,5.9
121,7,3.5,1,2,2,8.8
48,4,,4,,,4.5
50,,,,,,3.68
50,3.6,,3,2,,9.8
114,,11,2,5,2,7.8
70,6,,3,3,3,1.6
60,4,,3,,,7.5
116.5,5,15,3,4,4,5.2
59.8,,,5,5,5,10
45,,,3,,,6.7
35,3.8,8,5,4,4,2.5
126,13,60,3,,,7.1
130,5,10,1,2,1,2.25
60,4,,,3,2,3.5
47.8,4,4,3,3,3,3.2
47,4,5,7,4,5,8
42,3.8,3,5,4,5,9.6
78,,,1,1,1,3.7
86,,,,,,9
84,4.2,5,2,4,2,1.85
35,,,,4,,4.9
64,,8,2,3,3,6.8
71,9.5,20,2,2,2,10
70,7,14,2,3,3,2
88,,6,4,5,4,6.8
102.3,8,,1,5,5,3.5
48,5,20,5,7,7,8.9
115,5,10,4,5,6,9.55
150,7.5,7,1,,,6.5
23,,,3,2,,2.05
85,15,6,2,3,2,3.7
42,3.6,2,2,2,2,3.2
56,4,6,3,3,3,4.55
177,,11.5,3,4,4,9.4
40,,,5,4,4,6.9
79,4.2,,4,6,5,8
87.5,5,11.5,,4,3,5.3
40.5,,3,4,4,3,7.52
50,,,4,4,4,5.6
200,6.4,,2,,,7.9
85,4.1,16,3,5,5,8.9
35,3.5,3,4,4,3,2.5
26,3.6,,4,,,8.45
120,6,33,5,8,9,7
60,,,2,2,2,6.25
60,,6,2,,,5.9
65.7,4.5,3,,,,3.61
20,5.1,2.5,4,3,3,3.2
70,,,,,,9
93,,23,6,,,8
35,3.5,2.5,5,4,4,5.59
108,,24.5,5,8,9,3.95
66,4.2,6,1,,,7.3
80.5,4,10,1,2,1,2.55
40,4.8,,5,,,5.68
70,,,,,,5.8
35,5,4,2,2,2,3.1
51,4,4,2,2,3,4.86
60,,,3,3,3,4.2
108,6,30,5,5,5,9
108,4.5,10,2,,,7.8
105,5,33,3,,,4.5
105.5,6.89,4.5,2,2,2,3.75
60,4,5,3,3,4,6
50,5,5,5,4,5,7.3
32,34,2,5,3,4,6
50,5,3,4,3,4,9.9
48,5,,5,6,5,9.7
30,,,5,3,4,7.9
60,,,2,2,2,3.68
40.5,,2,2,2,1,1.85
32,4,4,2,2,2,3.95
66,4,4,4,5,6,7.7
35,,,2,2,1,4.98
30,,,,,,8.2
33,4,2.5,5,4,4,4.7
120,6,26,,,,8.8
32,,,3,3,3,2.2
59,,14,2,3,,6.1
40,4,10,6,5,6,8.9
112,,,2,2,3,5.08
75,5.1,,5,6,4,9.5
74,6.55,,3,,,9
64,4,5,5,4,5,9.55
60,6,12,3,4,3,5.5
79,,,,,,5.6
40,4.5,,,,,6.6
60,,2.5,4,4,4,6
300,,,1,2,2,5.5
52.5,,,5,6,,8.6
118,10,,,1,1,9.5
32,4.03,,,2,,2.09
52,5,,5,6,,9.28
33.7,,,2,2,2,4.7
76,4,7,3,3,3,3.8
72,4,6,2,2,2,3.8
50,,7,4,4,4,4.7
63.5,,,3,4,4,5.3
51,,,2,4,4,5.8
30,,,,,,4.99
60,4.9,6,3,,,6.3
60,4.7,7.5,3,3,3,7.1
33.5,,,,2,2,4.9
100,,,2,,,3.55
70,3.8,5,5,,,10
30.5,3.5,,5,4,4,5.88
90,,,4,4,4,5.99
171,5.4,8,1,2,2,9
52.3,,5.5,3,,,3.15
443,10.5,4,,4,3,3.3
93,5,7.5,3,4,4,7.4
48,4,3,5,6,4,4.46
16.9,,,3,2,3,4
40,,,3,3,3,2.35
191,8,10,2,4,4,3.8
154,,,4,4,4,5.5
60,4,12,3,4,4,3.7
63,,,4,4,5,9.8
30,3,3.5,5,3,4,5.95
52,,,2,2,3,5.2
50,,,5,,,10
45,,4,3,,,4.2
42,,,5,8,5,8.2
189,6,15,,2,,5.9
580,10,30,2,6,5,7.5
50,3.5,,3,3,2,5.05
30,,,5,3,3,5.8
60.7,4.5,5,2,2,2,2.35
104,5,4,2,3,2,3
37,4,,3,2,2,5.6
76,4,,3,4,4,4.7
35,5,5,2,2,2,1.88
61,5.6,10,2,3,2,2.6
64,,,,,,3.8
35,3.3,3,6,3,3,6
55,5,4,5,7,7,8
30,,6,2,2,2,1.98
55,,5,2,1,2,7.5
45.5,5.2,2.5,2,3,2,5.35
38,3.4,,4,,,5.35
40,,,5,3,4,6.9
100,,,,,,3.97
64,4,12,2,4,4,3.6
62,4,12,3,4,4,3.65
76.5,5,15,3,4,4,4.7
120,,25,,,,2.2
59,6,4,5,5,5,9.8
37,4,3,5,3,4,2.85
30,3,,5,,,8.8
40,,,4,,,3.7
85.5,,,3,4,5,9.8
50,,,6,9,9,7.95
46,4,6,4,4,4,5.6
75,5,,5,,,8.3
39.5,,3,5,3,4,6.89
43,3.5,5,4,4,3,8
106,10,,5,,,10
64,4.1,6,3,4,3,5.68
100,4,12,3,4,4,8
16.9,,,3,2,3,4
48,4,20,5,7,7,8.9
70,4.06,,,2,,4.08
100,5,10.5,3,4,4,6.5
67,6,,2,2,2,6.35
41.9,,,6,6,5,6.97
61.7,4,8,2,3,2,2.75
60,4,13,3,3,4,3.9
30,,,6,,,5.45
75,5,12,,,,3.85
35,3.3,,1,1,1,5.2
27.9,,,2,2,2,4.5
35,,,3,3,2,5.45
31,,3,3,3,3,5.75
69,5,5.5,3,3,3,4.7
100,5,,3,,,4.1
37,,,5,,,5.25
160,,,,4,4,4.45
217,9,3,2,3,2,9.5
57,4,4,5,8,7,9.5
103.8,4.3,3,1,2,1,3.85
35,,,,,,4.95
65,,,,,,4
50,5,,1,2,2,3.2
98,4,9,3,4,5,6.6
214.9,,,4,4,5,8.8
39,6,6,4,3,4,8.6
71.5,4,6,4,9,,7.1
39.5,,2.5,4,4,3,6.35
105,5,,2,3,,6.8
45,,,3,2,3,5.4
50,4,11,4,4,3,4.7
45,,,5,6,,6.6
48,,,5,4,,9.2
100,,,3,3,3,3.1
45,,3,5,6,4,7.2
90,,7.5,3,3,1,6.2
65,5,,3,4,3,4.9
22,6,5,3,3,3,3.79
32,3.5,3,5,7,5,7.5
42.69,,,5,4,4,7.15
72,4.2,,3,4,3,9.2
134,,,,,,7.2
35,,,,,,6.5
35,,,,,,5.85
46,,,3,4,4,3.69
45,,12,3,4,4,7.99
302,10,,,2,1,1.34
40,,,4,,,3.65
132,5.5,10,1,1,1,7
68,6,4,,1,1,5.2
150,6,6,2,3,,10
105,,,,,,4.2
81,,,3,4,3,6.3
60,7.5,3,2,3,3,3.35
42,,,3,,,6.4
323,20,10,1,3,3,10
25,,,4,3,3,4.38
60,4,4,2,3,3,7.2
116,,5,1,3,3,6.9
40,,,5,,,3.6
43,,3,2,2,2,3.85
37,4,12,3,4,3,5.6
41.6,,3,5,4,4,6.45
80,5,1,1,1,1,4.3
40,4,5,5,4,4,4.2
67,,6,5,5,5,7.6
70,,8,4,4,,7.99
100,5,5.5,2,3,2,5.25
48,4,3,5,6,4,4.22
21,,,4,2,3,2.4
31,,,4,2,3,6.9
54,,5,4,4,5,6.15
215,12,2,2,4,2,7.2
102,,36,,,,7.5
150,5,16,1,5,5,1.75
69,4.8,6,2,3,3,2.9
72,4,4,2,4,3,5.5
40,4,2,4,3,3,2.65
61.7,4,10,2,3,2,2.75
62,4.4,42,2,3,2,4
60.75,4.5,6,2,2,3,2.35
291,9.1,30,3,,,7.5
35,3.8,8,5,3,4,7.5
50,,,4,,,4.55
72,4,5,2,3,2,2.45
60,,10,3,2,3,3
90,5,8,2,3,2,2.8
46.1,,2.6,,,,1.8
87,3,3,,2,1,1.6
60.7,4.5,6,2,2,2,2.35
57,4.2,6,3,3,3,4.5
43,3.5,,4,5,4,4.8
68.5,8,2,2,6,6,3.3
52,,,5,5,6,6.85
56,,,3,4,3,5.58
50,5,3,6,4,5,7.7
155.3,4.9,4,,,,7.5
86,5,,3,3,3,4.8
65,,6,3,4,3,7.5
73.8,4.1,5,1,1,1,5.95
64,4.8,6,2,3,3,2.9
75,6,12,2,3,3,3.5
46.5,7,6,3,3,4,4.2
75.6,,4,2,2,2,5.4
60,5,12,4,4,6,5.5
227,9.1,4,,4,4,6.9
20.6,7.53,2.5,2,2,2,4
49,4,4,3,3,3,5.98
32,4.2,,5,3,4,6.2
61,6,10,2,3,3,2.75
72.1,3,3,,1,1,2.35
108.8,5.45,,3,,,8.9
90,,,,,,3.7
50,5,5,2,3,2,1.33
60,4,8,2,3,2,1.33
72,4,7,2,3,3,3
60.5,7,7,4,4,5,5.5
62,6.6,2,4,4,3,8
40,,,5,4,4,9.5
79,5.1,8,5,5,6,9
90,5,17.5,,,,3.8
80,5,5,1,2,2,1.9
100,5,15,3,4,5,5.7
30,3.2,2,5,3,3,4.6
62,5,3,3,4,5,7.85
38,3.4,5,5,4,4,5.7
85,,,1,2,2,9.5
50,,,4,4,4,7.65
57.4,,,3,3,3,4.87
108,,,2,5,,6.1
75.7,,13,3,4,4,4.4
30,3.8,,5,3,4,5.45
46.5,14,14,4,4,4,3.9
28.9,2.23,,3,4,4,4.5
70,5,6,,3,,4.8
45.5,,3,2,3,3,1.9
120,6,15,3,4,4,7.1
72,,,2,3,2,4.5
44,4.5,3,,2,1,1.28
62,4.2,6,4,5,,6.9
118.8,6,,,5,,5.69
100,5,12,,4,,1.5
51,4,7,4,4,4,7.3
45,,,4,,,8.5
45,,,7,4,5,8.6
52.5,5,,3,3,,9.9
24.8,,,2,3,2,4.9
148.5,,,2,7,6,9
78.5,4.5,5.5,2,3,3,7
47,6,10,4,3,3,4.8
62,4,4,3,3,3,5.89
100,,12,3,4,4,8.5
80,,12,3,4,3,6.5
76,,14,1,,,8.8
72,4.5,,3,3,3,8.2
81,,3,3,3,3,3.3
18,,,2,1,2,2.3
60,4.5,3,3,4,3,4.75
55,4,5,5,3,4,9
69,4.8,6,2,3,3,2.9
244,,,,3,,9.5
45,5,,4,3,3,6.9
85,,,,,,2.5
242,7,6,,,,9.6
131,,,,,,2.2
34,4.8,,6,,,5.45
35,,,2,3,2,1.68
25,3.5,,4,2,4,5.2
22.7,,,3,2,3,4.6
33,3,2,4,4,4,4.3
46,,3,2,5,4,5.3
100,5,16,3,3,3,3
69,4.5,,,,,7.95
47,,,1,,,1.65
41.4,4.6,,2,,,6.8
84,6.8,8,3,4,3,3.7
65,,,3,3,3,6.6
40,5.5,4,6,3,4,6
108,15,32,2,3,3,9
87.65,4.55,6,1,2,2,8.8
50,,,5,7,4,6.5
28,3.6,,2,2,2,3.3
46.5,,,3,4,4,3.9
202,,,1,,,7.9
40,,,2,2,2,3.57
50,4,8,2,2,2,5.85
38,32,,6,3,4,7.3
56,9,5,2,2,2,3.6
35,3.3,2.8,3,4,3,1.85
40,3.6,8,3,3,3,6.45
32,,,5,4,4,3.4
20,,,4,3,3,3.35
34,,,4,3,3,5.35
80,,7,4,4,4,8.9
60,,6,5,4,4,5.55
28,,,5,,,4.25
60,,,1,1,1,9.29
160,,,3,5,4,8.9
150,,,1,1,1,3.6
76,,,4,,,10
31.2,,,3,3,2,3.25
45,,,3,,,8.45
51,,,6,4,5,6.5
38,4,,4,2,3,3.85
32,3.5,4,6,5,4,6
55.4,5,2.46,1,3,1,3.3
105,7,,2,4,3,7
56,,10,3,4,4,9
38,,,4,4,3,4.98
75,5,,4,4,4,7.6
35,,,5,4,3,4.98
40,,,4,,,5.35
38,,,3,3,2,2.45
72,,,3,3,3,1.7
35,4,,,4,,4.7
61,,4,1,,,4.75
92,,,1,2,2,6.5
101.3,5,,,,,5.6
84,6,,3,3,3,9.2
90,6,,2,,,6.7
59,,,4,3,3,4.6
94,5.2,10,,,,10
60,,,2,2,2,4.8
238,,,3,,,6
82.46,5,5,3,3,3,2.7
107.2,5,7,,,,9.5
30,4,,2,2,2,4.3
30,4.5,2.5,5,3,,4.8
52,4,3,2,2,3,5.19
50.8,5,5.1,4,3,3,5.45
44,,5,3,,,6.6
58,4,5,3,3,3,3.95
40,,,,,,1.45
60,4,5,2,2,2,4.19
82.4,4,8,4,,,6.5
45,5,3,4,7,4,5.75
76,,,4,4,5,8.5
55,4.5,,2,3,2,4.3
120,20,5.5,5,4,4,8
64,4,5,2,2,2,5
51,4,4,2,2,2,6
106,4,6,3,6,3,7.9
56,3.8,3,4,4,3,5.6
60,4.5,4,2,3,2,6.2
60,3.8,,,,,8.62
82.5,,,5,,,7
32,3.8,2.3,5,4,4,3.6
80,,,,,,5
40,6,12,2,3,2,3.6
43,,,5,5,5,7.5
33,,,4,3,3,8.2
48,,,2,3,2,6.15
36,4.5,,4,,,3.4
68.6,4.2,8,3,3,3,9.7
44,4.6,,3,5,5,6.5
54,4,,2,3,,5.5
40,,,4,4,4,5
43,,,2,2,2,6.3
71,,3,2,3,3,7
27,,,2,2,2,5.2
60,4,,3,3,4,6
107.1,6.3,,3,4,4,3.7
63,,,,2,2,5.7
34,5.1,2.7,5,3,4,4.9
230,12,10,,,,5.25
52,4,,3,3,,8.5
290,,,2,3,3,6.8
43,4.8,8,3,,,3.2
40,3.6,,4,3,3,5.75
61.3,4.3,4,3,4,3,5.9
60,4,5.5,3,3,3,3.95
54,4,5,2,,,4.35
64,,6,,,,6.5
35,3,3,2,2,2,3.3
82,4.7,3,4,5,4,9.9
420,,,2,3,,10
34,,,5,,,6.3
10.8,2.4,,,2,2,1.55
60,4,7,3,,,3.9
56,,,2,,,5.7
30,3.7,,5,3,4,5.68
36,4.2,,5,3,,7.5
35,,,,,,7.5
60,4,,1,1,1,9.6
41,,,4,3,,6.75
100,5,16,3,3,3,3.4
250,10,16,2,4,3,6.12
30,,,5,4,4,3.2
45,4.5,,1,2,2,2.8
100,5,12.5,2,3,2,4.2
72,4,6,2,3,2,3.8
100,,,3,4,4,5
38,,,4,4,4,4.79
63,4.5,,5,6,,6.9
300,15,32,3,7,3,9.18
60,7,17,,,,7.5
300,15,32,3,7,3,9.2
369,15,12,2,4,4,6.37
35,,3,4,3,3,2.9
38,,,3,3,3,2.1
36,7,3,5,3,4,5.65
32,3.4,3,6,4,5,5.7
57,,,2,2,2,6.4
65,5.5,7,3,3,3,4.6
32,4,,6,3,3,5.6
70,,,4,4,4,2.7
76.5,,,3,,,8.5
100,,20,3,4,3,5
54,,5,4,4,4,5.8
53,3.6,5,4,3,4,6.6
31,3,,4,4,4,6.2
24.3,2.38,,4,4,4,7.1
52,,,,1,1,7
68,4.5,,3,4,4,6.8
60,10,10,4,5,3,9.99
42,4,4,2,2,2,1.9
32,3,,5,3,4,4.55
30.3,4.6,,3,2,2,3.4
30,,,4,2,3,3.7
38,4.2,,5,,,6.5
71,4.7,4,4,4,4,6.4
30,5,,5,3,4,5.9
56,6,30,1,1,1,6.9
40,4.5,3,3,3,2,6.4
46,,3,3,3,3,2.63
32,3.6,2.5,4,4,3,2.9
40,,,6,,7,7.1
45,,,,,,2.65
56,,,6,,,8.6
56,,4,2,3,2,5.6
102,6,5,4,5,6,8
78,,,4,5,4,9.7
40,4.5,2,6,3,4,9.3
64,,3,5,5,,5.75
23,4,10,6,3,3,5.1
48,,,5,7,4,7.5
52,5,19,,1,1,10.9
42,4,,5,,,10
51,3.6,,,4,6,10
50,,,4,5,4,6
32,4,3,4,3,3,1.94
90,4.5,10,,2,2,7.6
44,,60,4,4,3,7.9
40,,,3,4,4,7.2
100,,,3,4,4,3.1
68,5,12,2,2,,3.9
63,5,12,4,4,4,7.9
56,,,4,3,3,2.7
104,,,2,,,10
56,4,6,2,3,2,1.78
90,,,2,,,5.5
40,5,3,5,3,4,6.75
60,4,,3,,,8.8
54.8,,,,,,5.1
80,4,8,3,3,4,9.2
35,4.5,3,5,3,3,7.5
61,4.1,8,,,,7.2
56,4,6,2,2,2,7.15
26,3.3,30,2,3,2,9
29,3.13,6,4,3,3,9.5
29.6,,3,2,2,2,2.86
28,,,1,2,2,3.35
32,4,,2,2,2,3.2
57.7,4,6,3,4,5,7.49
40,,,,,,4.7
66,,,3,4,4,6.6
109,7.5,15,5,8,5,7.4
52.5,4,5,3,4,3,5.2
80,5,20,,4,2,4.1
27,4,5,2,2,2,2.95
70,4,4,4,4,5,6.8
150,5,20,1,1,1,3.5
37,3.8,3,2,2,2,1.1
52,4,4,2,3,3,3.99
36,3.4,2.5,5,4,3,5.05
88,,,,,,7.2
60,4,20,6,,,9
35,3.8,,4,,,5.9
107.1,,,3,,,4
49,5,4,3,3,3,5.6
62,3,50,5,3,,8.9
96,,5.5,,,,6.2
58.8,,,3,4,5,5.4
45,4,,5,6,5,6.5
427.7,,6,,2,2,4.88
131,7.4,5,2,8,7,9
72,4,4,2,3,3,5.7
49,4,4,5,3,3,4.15
69,,8,4,,,8.45
